Start diagnostyki...
RESET: angle=0.0149  trackPos=0.0025  track[9]=0.161  speedX=-0.000
track caly: [0.058, 0.308, 0.247, 0.208, 0.187, 0.177, 0.172, 0.167, 0.164, 0.161, 0.158, 0.156, 0.152, 0.147, 0.14, 0.125, 0.106, 0.086, 0.05]

krok     angle   trackPos  track[4]  track[9]  track[14]   speedX  steer_exp
--------------------------------------------------------------------------------
   0   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
   5   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  10   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  15   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  20   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  25   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  30   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  35   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  40   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  45   +0.0149    +0.0025     0.187     0.161      0.140   -0.000    +0.0140
  50   +0.0154    +0.0029     0.187     0.161      0.139   -0.000    +0.0130
  55   +0.0173    +0.0039     0.186     0.161      0.139   -0.000    +0.0094
  60   +0.0185    +0.0048     0.186     0.160      0.139    0.010    +0.0070
  65   +0.0186    +0.0049     0.186     0.160      0.139    0.024    +0.0067
  70   +0.0192    +0.0051     0.185     0.160      0.138    0.035    +0.0057
  75   +0.0200    +0.0051     0.185     0.160      0.138    0.050    +0.0044
  80   +0.0206    +0.0051     0.185     0.160      0.138    0.063    +0.0034
  85   +0.0218    +0.0050     0.184     0.159      0.138    0.075    +0.0016
  90   +0.0233    +0.0049     0.184     0.159      0.137    0.088    -0.0007
  95   +0.0251    +0.0047     0.183     0.158      0.137    0.101    -0.0034
 100   +0.0272    +0.0043     0.182     0.157      0.136    0.115    -0.0066
 105   +0.0296    +0.0039     0.181     0.157      0.135    0.129    -0.0101
 110   +0.0324    +0.0034     0.180     0.156      0.135    0.142    -0.0142
 115   +0.0354    +0.0026     0.179     0.155      0.134    0.156    -0.0185
 120   +0.0388    +0.0018     0.178     0.153      0.133    0.168    -0.0233
 125   +0.0424    +0.0007     0.176     0.152      0.132    0.181    -0.0283
 130   +0.0464    -0.0007     0.175     0.151      0.131    0.195    -0.0339
 135   +0.0506    -0.0023     0.173     0.149      0.129    0.208    -0.0395
 140   +0.0550    -0.0042     0.171     0.148      0.128    0.223    -0.0454
 145   +0.0597    -0.0064     0.169     0.146      0.127    0.237    -0.0516
 150   +0.0651    -0.0092     0.167     0.144      0.125    0.253    -0.0584
 155   +0.0709    -0.0126     0.165     0.142      0.123    0.268    -0.0656
 160   +0.0771    -0.0165     0.162     0.140      0.121    0.283    -0.0730
 165   +0.0836    -0.0210     0.160     0.138      0.120    0.298    -0.0805
 170   +0.0905    -0.0262     0.157     0.136      0.118    0.316    -0.0883
 175   +0.0976    -0.0321     0.154     0.133      0.115    0.332    -0.0961
 180   +0.1051    -0.0388     0.151     0.130      0.113    0.349    -0.1039
 185   +0.1129    -0.0464     0.148     0.128      0.111    0.364    -0.1116
 190   +0.1211    -0.0551     0.145     0.125      0.108    0.382    -0.1194
 195   +0.1297    -0.0647     0.141     0.122      0.106    0.401    -0.1272
 200   +0.1386    -0.0756     0.138     0.119      0.103    0.419    -0.1348
 201   +0.1405    -0.0780     0.137     0.118      0.102    0.422    -0.1363
 202   +0.1423    -0.0803     0.136     0.117      0.102    0.427    -0.1377
 203   +0.1442    -0.0828     0.136     0.117      0.101    0.430    -0.1393
 204   +0.1461    -0.0853     0.135     0.116      0.101    0.434    -0.1408
 205   +0.1479    -0.0878     0.134     0.115      0.100    0.438    -0.1422
 206   +0.1499    -0.0904     0.133     0.115      0.100    0.442    -0.1437
 207   +0.1518    -0.0931     0.132     0.114      0.099    0.445    -0.1452
 208   +0.1537    -0.0958     0.132     0.113      0.098    0.450    -0.1465
 209   +0.1557    -0.0986     0.131     0.113      0.098    0.454    -0.1480
 210   +0.1577    -0.1014     0.130     0.112      0.097    0.457    -0.1495
 211   +0.1596    -0.1043     0.129     0.111      0.097    0.462    -0.1508
 212   +0.1617    -0.1073     0.128     0.111      0.096    0.466    -0.1522
 213   +0.1637    -0.1103     0.128     0.110      0.095    0.471    -0.1536
 214   +0.1656    -0.1134     0.127     0.109      0.095    0.474    -0.1549
 215   +0.1677    -0.1166     0.126     0.108      0.094    0.479    -0.1563
 216   +0.1698    -0.1198     0.125     0.108      0.094    0.483    -0.1577
 217   +0.1719    -0.1231     0.124     0.107      0.093    0.487    -0.1589
 218   +0.1740    -0.1265     0.123     0.106      0.092    0.491    -0.1603
 219   +0.1761    -0.1299     0.122     0.105      0.092    0.496    -0.1616
 220   +0.1782    -0.1335     0.122     0.105      0.091    0.500    -0.1627
 221   +0.1804    -0.1370     0.121     0.104      0.090    0.504    -0.1641
 222   +0.1826    -0.1407     0.120     0.103      0.090    0.509    -0.1653
 223   +0.1848    -0.1445     0.119     0.102      0.089    0.513    -0.1665
 224   +0.1870    -0.1483     0.118     0.102      0.088    0.517    -0.1677
 225   +0.1892    -0.1522     0.117     0.101      0.088    0.522    -0.1689
 226   +0.1914    -0.1562     0.116     0.100      0.087    0.526    -0.1700
 227   +0.1937    -0.1602     0.115     0.099      0.086    0.531    -0.1712
 228   +0.1960    -0.1644     0.114     0.098      0.085    0.536    -0.1724
 229   +0.1983    -0.1686     0.113     0.097      0.085    0.540    -0.1734
 230   +0.2006    -0.1729     0.112     0.097      0.084    0.545    -0.1744
 231   +0.2029    -0.1773     0.111     0.096      0.083    0.549    -0.1755
 232   +0.2052    -0.1818     0.110     0.095      0.083    0.554    -0.1765
 233   +0.2076    -0.1864     0.109     0.094      0.082    0.559    -0.1775
 234   +0.2100    -0.1911     0.108     0.093      0.081    0.564    -0.1785
 235   +0.2124    -0.1959     0.107     0.092      0.080    0.568    -0.1794
 236   +0.2148    -0.2008     0.106     0.092      0.080    0.572    -0.1802
 237   +0.2172    -0.2057     0.105     0.091      0.079    0.577    -0.1812
 238   +0.2196    -0.2108     0.104     0.090      0.078    0.582    -0.1819
 239   +0.2221    -0.2159     0.103     0.089      0.077    0.587    -0.1827
 240   +0.2246    -0.2212     0.102     0.088      0.077    0.592    -0.1835
 241   +0.2270    -0.2266     0.101     0.087      0.076    0.597    -0.1842
 242   +0.2296    -0.2320     0.100     0.086      0.075    0.601    -0.1849
 243   +0.2321    -0.2376     0.099     0.085      0.074    0.606    -0.1856
 244   +0.2347    -0.2433     0.098     0.084      0.073    0.611    -0.1862
 245   +0.2372    -0.2491     0.097     0.083      0.073    0.616    -0.1868
 246   +0.2398    -0.2550     0.096     0.082      0.072    0.621    -0.1873
 247   +0.2423    -0.2610     0.095     0.081      0.071    0.626    -0.1878
 248   +0.2449    -0.2671     0.094     0.081      0.070    0.630    -0.1883
 249   +0.2476    -0.2733     0.093     0.080      0.069    0.635    -0.1887
